province,year,CO2,GDP,Population,Energy,CoalShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual,scenario,stirpat_co2_pred,pred_residual,pred_log_co2,pred_co2
Anhui,2024,,49427.83156499999,6124.0605,13236.187758185592,32.33437242801384,40.22317741022128,63.68151887148752,5610.4796560301575,1248.233595,,,,,8.071088057506943,0.009846312480605936,,10.80826893653437,8.719980635892721,9.490709854358357,7.129484706894997,2.08828830064165,-4.620658261342302,0,6.193967378760184,,baseline,489.785420948768,-0.014927273616194725,6.179040105143989,482.5285573011522
Anhui,2025,,51925.17275482161,6127.122530249999,13567.09245214023,30.834372428013843,39.02317741022128,64.43151887148753,5694.395956931921,1310.64527475,,,,,8.47464246038229,0.009550923106187758,,10.857558975745453,8.720480510934372,9.515402466948728,7.1782748710644295,2.137078464811082,-4.65111746882701,0,6.212852149477569,,baseline,499.1227959158758,-0.01658855937421322,6.196263590103356,490.9113639949486
Anhui,2026,,54261.80552878857,6127.122530249999,13811.300116278755,29.834372428013843,38.22317741022128,65.08151887148753,5779.567399281256,1356.51785936625,,,,,8.856001371099492,0.009312150028533063,,10.901575861162227,8.720480510934372,9.53324238507706,7.212676297781762,2.181095350227856,-4.676435276811301,0,6.230644997365847,,baseline,508.08309008647905,-0.017742807045578957,6.212902190320268,499.1477730661273
Anhui,2027,,56703.58677758406,6127.122530249999,14059.903518371773,28.834372428013843,37.423177410221285,65.73151887148754,5866.012756308589,1403.9959844440687,,,,,9.254521432798969,0.009079346277819736,,10.945592746579003,8.720480510934372,9.55108230320539,7.2470777244990945,2.2251122356446307,-4.70175308479559,0,6.248437845254128,,baseline,517.2042402073247,-0.018604472279548645,6.229833372974579,507.6708847583515
Anhui,2028,,59255.24818257534,6127.122530249999,14312.981781702465,27.834372428013843,36.62317741022129,66.38151887148754,5953.751082036747,1453.135843899611,,,,,9.670974897274922,0.008852362620874243,,10.989609631995776,8.720480510934372,9.568922221333722,7.281479151216427,2.269129121061405,-4.727070892779881,0,6.266230693142407,,baseline,526.4891339778795,-0.01936887763440609,6.246861815508001,516.389752936608
Anhui,2029,,61921.73435079122,6127.122530249999,14570.615453773109,26.834372428013843,35.82317741022129,67.03151887148755,6042.801715480789,1503.9955984360972,,,,,10.106168767652292,0.008631053555352387,,11.03362651741255,8.720480510934372,9.586762139462053,7.315880577933759,2.313146006478179,-4.75238870076417,0,6.284023541030684,,baseline,535.9407109378363,-0.02015675976872444,6.263866781261959,525.246029932234
Anhui,2030,,64708.21239657683,6127.122530249999,14832.886531941025,25.834372428013843,35.023177410221294,67.68151887148755,6133.184284910652,1556.6354443813605,,,,,10.560946362196646,0.008415277216468578,,11.077643402829326,8.720480510934372,9.604602057590384,7.350282004651091,2.357162891894953,-4.77770650874846,0,6.301816388918964,,baseline,545.5619633977527,-0.020955435931682587,6.280860952987282,534.2484286598129
Anhui,2031,,67262.89262199368,6124.058968984874,14981.215397260436,25.034372428013842,34.523177410221294,68.18151887148755,6224.918712177555,1587.7681532689876,,,,,10.983384216684511,0.008246971672139206,,11.116363990940924,8.71998038589269,9.614552388443553,7.370084631947271,2.3963836050482348,-4.797909216065979,0,6.318508029629915,,baseline,554.744712046801,-0.02177082747220993,6.296737202157705,542.7979776378942
Anhui,2032,,69918.43162271,6120.996939500382,15131.02755123304,24.23437242801384,34.023177410221294,68.68151887148755,6318.025217105109,1619.5235163343673,,,,,11.422719585351892,0.008082032238696421,,11.155084579052524,8.719480260851007,9.62450271929672,7.389887259243451,2.435604318201516,-4.818111923383499,0,6.335199670340866,,baseline,564.0820221909846,-0.022474095225334167,6.312725575115532,551.5461825702735
Anhui,2033,,72678.81130317459,6117.936441030632,15282.337826745372,23.43437242801384,33.523177410221294,69.18151887148755,6412.5243219461145,1651.9139866610547,,,,,11.879628368765967,0.007920391593922493,,11.193805167164122,8.718980135809325,9.634453050149888,7.40968988653963,2.4748250313547975,-4.838314630701018,0,6.351891311051818,,baseline,573.5764953668039,-0.023174673318862915,6.328716637732955,560.436888574616
Anhui,2034,,75548.17077342393,6114.877472810117,15435.161205012826,22.63437242801384,33.023177410221294,69.68151887148755,6508.436855906013,1684.9522663942757,,,,,12.354813503516606,0.007761983762044043,,11.232525755275722,8.718480010767642,9.644403381003057,7.42949251383581,2.5140457445080786,-4.858517338018538,0,6.368582951762769,,baseline,583.2307768991024,-0.023885630071163177,6.344697321691606,569.4649989247031
Anhui,2035,,78530.81255555872,6111.820034073712,15589.512817062954,21.83437242801384,32.523177410221294,70.18151887148755,6605.7839597339935,1718.6513117221614,,,,,12.84900604365727,0.007606744086803162,,11.27124634338732,8.71797988572596,9.654353711856224,7.44929514113199,2.5532664576613597,-4.878720045336057,0,6.385274592473721,,baseline,593.0475566381057,-0.024607183411717415,6.360667409062003,578.6324120662509
Beijing,2024,,45971.70936749999,2187.093,4948.9702718864455,0.0,13.968855157566319,88.30079241757416,1580.092544760691,671.979,,,,,21.019549405306496,0.001963708761514309,,10.735781472522698,7.690328543778135,8.506934808040825,6.510227090034858,3.0454529287445635,-6.232920368480349,1,4.4494441082725285,,baseline,85.57935791996121,0.015854083001613617,4.465298191274142,86.94695249710834
Beijing,2025,,48294.42998329293,2188.1865464999996,5072.694528683606,0.0,12.76885515756632,89.05079241757416,1627.4639528116265,705.5779500000001,,,,,22.070526875571822,0.0019047974986688796,,10.785071511733781,7.690828418819786,8.531627420631196,6.55901725420429,3.0942430929139957,-6.263379575965058,1,4.467778922422765,,baseline,87.1629122687601,0.014979761093854904,4.48275868351662,88.47842026940731
Beijing,2026,,50467.679332541105,2188.1865464999996,5164.003030199911,0.0,11.968855157566319,89.70079241757416,1676.255562678063,730.27317825,,,,,23.06370058497255,0.0018571775612021574,,10.829088397150556,7.690828418819786,8.549467338759527,6.593418680921623,3.13825997833077,-6.288697383949348,1,4.485205132599613,,baseline,88.69514321226988,0.014507509768009186,4.499712642367622,89.99126790699756
Beijing,2027,,52738.724902505455,2188.1865464999996,5256.95508474351,0.0,11.168855157566318,90.35079241757417,1726.5099522203536,755.8327394887499,,,,,24.101567111296315,0.0018107481221721034,,10.87310528256733,7.690828418819786,8.567307256887858,6.6278201076389545,3.182276863747544,-6.314015191933638,1,4.502631342776459,,baseline,90.25430913997337,0.01383841410279274,4.516469756879252,91.51196757326657
Beijing,2028,,55111.9675231182,2188.1865464999996,5351.580276268894,0.0,10.368855157566317,91.00079241757417,1778.2709757893995,782.2868853708561,,,,,25.186137631304646,0.0017654794191178007,,10.917122167984104,7.690828418819786,8.58514717501619,6.662221534356287,3.2262937491643187,-6.339332999917928,1,4.520057552953306,,baseline,91.84088354013741,0.01373324915766716,4.533790802110973,93.11085775287377
Beijing,2029,,57592.00606165851,2188.1865464999996,5447.9087212417335,0.0,9.568855157566317,91.65079241757418,1831.5838024960233,809.666926358836,,,,,26.319513824713354,0.0017213424336398556,,10.961139053400878,7.690828418819786,8.60298709314452,6.696622961073619,3.270310634581093,-6.364650807902218,1,4.537483763130154,,baseline,93.4553482244469,0.013590727001428604,4.551074490131582,94.7341445512892
Beijing,2030,,60183.64633443314,2188.1865464999996,5545.9710782240845,0.0,8.768855157566316,92.30079241757419,1886.4949556276672,838.0052687813952,,,,,27.503891946825455,0.0016783088727988591,,11.005155938817653,7.690828418819786,8.620827011272851,6.731024387790952,3.314327519997867,-6.389968615886508,1,4.554909973306999,,baseline,95.09819347432138,0.013434752821922302,4.568344726128921,96.38443501971261
Beijing,2031,,62559.69669171658,2187.09245322675,5601.4307890063255,0.0,8.268855157566316,92.80079241757419,1943.0523532468076,854.7653741570232,,,,,28.604047624698474,0.0016447426953428818,,11.043876526929251,7.690328293778103,8.63077734212602,6.750827015087132,3.3535482331511486,-6.410171323204027,1,4.571308303848807,,baseline,96.67050146458017,0.013262037187814713,4.584570341036621,97.96108823904662
Beijing,2032,,65029.553517105545,2185.9989070001366,5657.445096896389,0.0,7.768855157566316,93.30079241757419,2001.3053500065168,871.8606816401636,,,,,29.748209529686413,0.0016118478414360242,,11.082597115040851,7.689828168736422,8.640727672979187,6.770629642383311,3.3927689463044297,-6.430374030521547,1,4.587706634390613,,baseline,98.2688052422025,0.013120073825120926,4.600826708215734,99.56659414848423
Beijing,2033,,67596.92028996088,2184.9059075466366,5714.019547865353,0.0,7.268855157566316,93.80079241757419,2061.3047802196616,889.2978952729669,,,,,30.93813791087387,0.0015796108846073036,,11.12131770315245,7.689328043694739,8.650678003832356,6.790432269679491,3.431989659457711,-6.450576737839066,1,4.604104964932418,,baseline,99.89353460908787,0.012937646359205246,4.617042611291623,101.19431822865633
Beijing,2034,,70265.64670300853,2183.8134545928633,5771.1597433440065,0.0,6.768855157566316,94.30079241757419,2123.103002219322,907.0838531784262,,,,,32.17566342730883,0.0015480186669151574,,11.16003829126405,7.688827918653057,8.660628334685525,6.810234896975671,3.4712103726109924,-6.470779445156586,1,4.620503295474225,,baseline,101.54512647327469,0.012709841132164001,4.633213136606389,102.84398556005084
Beijing,2035,,73039.73443484333,2182.721547865567,5828.871340777447,0.0,6.268855157566316,94.80079241757419,2186.753944049144,925.2255302419948,,,,,33.46268996440118,0.0015170582935768542,,11.198758879375648,7.688327793611375,8.670578665538692,6.830037524271851,3.5104310857642735,-6.490982152474105,1,4.63690162601603,,baseline,103.22402496642908,0.012463048100471497,4.649364674116502,104.5185611315708
